page,depth,topology_id,R_theta,G_theta,B_theta,R_theta_min,R_theta_max,G_theta_min,G_theta_max,B_theta_min,B_theta_max,entropy_R,entropy_G,entropy_B,mean_entanglement_entropy,entropy_range_min,entropy_range_max,measurement_shannon_entropy
23,4,3,1.7956196376670086,0.6422562615186925,5.5446343679132015,1.6296196376670087,1.9616196376670085,0.5210762615186926,0.7634362615186925,5.4765743679132015,5.6126943679132015,0.5330484002946502,0.19489147378717345,0.5339292190050156,0.4206230310289463,0.20334038784735975,0.6548751765197333,2.1661771339435214
24,2,0,5.678841715117942,3.0422194912473453,3.704331998891995,5.506841715117942,5.850841715117942,2.916659491247345,3.1677794912473454,3.633811998891995,3.7748519988919953,0.9673948196685356,0.8689133611148818,0.9757847523472175,0.9373643110435449,0.8993473701526838,0.9495887979420766,2.2385443650575447
25,3,1,3.278878485389289,5.442182720975999,1.8640296298707661,3.100878485389289,3.456878485389289,5.312242720975998,5.572122720975999,1.791049629870766,1.9370096298707662,0.6389159172097617,0.8821258084673852,0.8728490171801506,0.7979635809524325,0.732232652416699,0.8571287401839037,2.2719531623815334
26,4,2,0.8789152556606473,1.558960643525065,0.023727260849559624,0.6949152556606473,1.0629152556606474,1.424640643525065,1.693280643525065,-0.05171273915044037,0.09916726084955962,0.6483593822622601,0.45351557340091314,0.468059745551493,0.5233115670715555,0.45659640436470955,0.6048350679016231,2.1335297900382657
27,2,3,4.762137333111592,3.9589238732537178,4.466610199007917,4.572137333111591,4.952137333111592,3.8202238732537177,4.097623873253718,4.388710199007917,4.544510199007917,0.5282882444914917,0.9234429155304862,0.9369530519642513,0.7962280706620763,0.7440156867831876,0.8435072729046279,1.922886816206556
28,3,0,2.362174103382928,0.07570179580278452,2.626307829986688,2.166174103382928,2.558174103382928,-0.06737820419721549,0.21878179580278453,2.545947829986688,2.706667829986688,0.24845140370594657,0.22380836877211527,0.2775758976469943,0.2499452233750187,0.11661724816896868,0.5137444428596517,2.1254445713247185
29,4,1,6.24539618083385,2.475665025531426,0.7860054609654814,6.04339618083385,6.44739618083385,2.328205025531426,2.6231250255314262,0.7031854609654814,0.8688254609654814,0.926811379022709,0.9100116405938792,0.8233230598556995,0.8867153598240959,0.8776381588226835,0.8924913364379153,2.591407480271141
30,2,2,3.845432951105208,4.87562825526009,5.228888399123838,3.637432951105208,4.053432951105208,4.72378825526009,5.02746825526009,5.143608399123838,5.314168399123838,0.941515479668336,0.9010059196866587,0.9953009047914272,0.9459407680488073,0.8905254024715413,0.9574760725117537,2.1841385196726275
31,3,3,1.4454697213765666,0.9924061778091681,3.388586030102632,1.2314697213765666,1.6594697213765666,0.836186177809168,1.148626177809168,3.300846030102632,3.476326030102632,0.8823858637344666,0.6651447627793214,0.9421439441072118,0.8298915235403332,0.5950465721519137,0.9044135155373346,1.9257873205483
32,4,0,5.328691798827489,3.3923694075378097,1.5482836610814033,5.108691798827489,5.548691798827488,3.2317694075378096,3.5529694075378098,1.4580836610814032,1.6384836610814033,0.5016595524464903,0.6529629676606852,0.4694319207293681,0.5413514802788478,0.33639327719037126,0.6864161184960547,2.4013815420352733
33,2,1,2.9287285690988245,5.792332637266463,5.991166599239761,2.7687285690988244,3.0887285690988247,5.675532637266463,5.909132637266462,5.925566599239761,6.056766599239761,0.5625399696431838,0.8637301539535807,0.9326168218084795,0.7862956484684146,0.7163054270045315,0.8380512452261376,2.483124243138983
34,3,2,0.5287653393701829,1.9091105598155294,4.150864230218554,0.36276533937018285,0.6947653393701829,1.7879305598155293,2.0302905598155294,4.082804230218554,4.218924230218554,0.746175439250383,0.6634991436358793,0.3291302554110697,0.5796016127657774,0.4862011793396593,0.6543950281406198,2.0177863690687285
35,4,3,4.411987416821128,4.309073789544193,2.310561861197325,4.239987416821128,4.583987416821127,4.183513789544193,4.434633789544193,2.2400418611973247,2.381081861197325,0.6671750946200478,0.6587649707302201,0.3618695943520132,0.5626032199007603,0.4322507419503427,0.6462927467785623,2.1189350469552273
36,2,0,2.0120241870924636,0.4258517120932489,0.4702594921761184,1.8340241870924636,2.1900241870924635,0.2959117120932489,0.555791712093249,0.3972794921761184,0.5432394921761183,0.8276745486668576,0.9785872905546709,0.8455103030824611,0.8839240474346631,0.8203522505089035,0.9062628805075308,1.927571927684308
37,3,1,5.895246264543386,2.8258149418219016,4.913142430334475,5.7112462645433855,6.079246264543386,2.691494941821902,2.9601349418219014,4.837702430334475,4.988582430334476,0.21911750985459122,0.47301077054096174,0.44112192647401577,0.3777500689565229,0.3628001773236625,0.47805771573252215,1.736531900084941
38,4,2,3.4952830348147437,5.225778171550566,3.0728400613132467,3.3052830348147437,3.6852830348147436,5.087078171550566,5.364478171550566,2.9949400613132466,3.150740061313247,0.836727392778172,0.8956476301520115,0.8097478086097749,0.8473742771799863,0.8473015806020617,0.8523835852634637,2.5237759922228165
39,2,3,1.0953198050861022,1.3425560940996326,1.2325376922920401,0.8993198050861022,1.2913198050861021,1.1994760940996325,1.4856360940996327,1.1521776922920401,1.3128976922920401,0.4221632866181129,0.5455929754907982,0.4730353560105929,0.48026387270650134,0.4476998554175358,0.5296128136305767,2.0406996032614866
40,3,0,4.978541882537025,3.7425193238282852,5.675420630450398,4.776541882537025,5.180541882537025,3.595059323828285,3.8899793238282854,5.592600630450398,5.7582406304503975,0.5767233017961596,0.9319610273060623,0.9442841260893435,0.8176561517305219,0.797382919263749,0.823652276274359,1.9125289514424313
41,4,1,2.57857865280836,6.142482553556927,3.8351182614291908,2.37057865280836,2.7865786528083603,5.990642553556927,6.294322553556927,3.7498382614291907,3.920398261429191,0.6148954249791138,0.5694661168336159,0.49003103963672195,0.5581308604831506,0.39509013963944,0.6706272265269524,2.52402220935695
42,2,2,0.17861542307971853,2.259260476105994,1.994815892407962,-0.03538457692028146,0.39261542307971853,2.103040476105994,2.415480476105994,1.907075892407962,2.082555892407962,0.9795746563849843,0.9826211461263845,0.33822532297679864,0.7668070418293892,0.7365554908584903,0.7684285546992223,2.4159229933652617
43,3,3,4.061837500530663,4.659223705834658,0.15451352338673302,3.8418375005306626,4.281837500530663,4.4986237058346585,4.819823705834658,0.06431352338673303,0.24471352338673302,0.7966701796065814,0.9294119288090846,0.6931116011422348,0.8063979031859669,0.662463706285608,0.807491056989376,2.554864590507697
44,4,0,1.661874270801999,0.7760016283837357,4.597396461545113,1.501874270801999,1.8218742708019988,0.6592016283837356,0.8928016283837357,4.531796461545113,4.662996461545113,0.06283332033128315,0.14174165672128355,0.15620036873485135,0.12025844859580603,0.10924919612230032,0.22401293842896194,1.5760872503307175
45,2,1,5.545096348252921,3.175964858112377,2.7570940925238836,5.37909634825292,5.711096348252921,3.0547848581123773,3.297144858112377,2.6890340925238836,2.8251540925238836,0.5780728327140052,0.24616033021721156,0.6151194803739399,0.4797842144350522,0.4119915342633032,0.5455597547628602,1.5152515466240428
46,3,2,3.1451331185242792,5.575928087841041,0.9167917235026548,2.973133118524279,3.3171331185242794,5.450368087841041,5.701488087841041,0.8462717235026548,0.9873117235026548,0.8901100590048241,0.8342412194627795,0.4187031459812493,0.7143514748162842,0.6147142968986447,0.8054697999249102,2.7439700082198906
